indx,Year,Month,t,tc,p,tn,pn,td,pd
134,1987,4,175.72264150943403,175.72264150943403,169.831132075472,176.690721252697,-86.55260253258959,48.648384056278495,-11.144163542891057
135,1987,5,179.634722222222,179.634722222222,222.708333333333,176.149987627463,-149.003493525554,152.561210442705,-27.35628921003831
136,1987,6,175.61521739130401,175.61521739130401,242.847826086956,174.933635252942,-150.757821950781,69.04102803216111,
137,1987,7,179.698648648649,179.698648648649,196.737837837838,175.06827007057203,129.395826117063,128.09214313351802,61.59305851714976
138,1987,8,185.02,174.98,179.114,172.30201834714902,130.457042615373,120.047366425861,
139,1987,9,168.497752808989,168.497752808989,196.99550561797798,165.192972823113,118.974904501111,48.68531861332129,26.909145576062933
140,1987,10,177.865909090909,177.865909090909,220.90757575757598,165.96935610123998,97.0444918115491,78.5017133658379,
141,1987,11,178.13534482758598,178.13534482758598,208.48534482758598,168.260031243316,57.64090216827721,154.066593095725,-17.530134695576947
142,1987,12,185.20315789473702,174.79684210526298,184.564210526316,172.642342098384,77.4287557843462,122.984453676135,39.86957630531796
143,1988,1,195.36728395061698,164.632716049383,165.769135802469,171.252942091902,63.333707537967996,108.86263832930099,
144,1988,2,183.046666666667,176.953333333333,181.255,172.100145623405,48.47303934598661,92.17467236489149,-46.26654313494858
145,1988,3,180.352229299363,179.647770700637,218.55987261146498,166.096348924145,64.88466722868431,11.9492512582903,14.177077033682652
146,1988,4,180.412626262626,179.587373737374,214.03282828282798,162.505182892775,43.4792565548937,109.80830959076799,
147,1988,5,185.40898876404498,174.59101123595502,170.233707865168,169.213209895905,-77.0700269852253,92.87177878535809,49.9740454536452
148,1988,6,176.546696035242,176.546696035242,183.93612334801702,174.501374197107,-113.39970684948901,68.39528768324679,-52.079170027778524
149,1988,7,181.102510460251,178.897489539749,174.042677824268,155.996117218255,-167.131323865544,114.491638345013,9.597965817728323
150,1988,8,177.481818181818,177.481818181818,191.720948616601,142.99035476376002,-64.5930733213781,105.638806483216,
151,1988,9,186.54373088685,173.45626911315,205.704281345566,148.008597382174,165.590117228672,54.86277369764,24.49192726113703
152,1988,10,170.214953271028,170.214953271028,163.548286604362,145.31437161300502,35.7168084812532,68.3587611799244,-40.48930133966256
153,1988,11,187.158544303797,172.841455696203,165.425316455696,153.687363404418,-169.999876800285,12.222314456328402,6.076798632470333
154,1988,12,183.258838383838,176.741161616162,181.205555555555,138.82130952731399,-165.037361364711,27.2684308393117,32.13823884130881
155,1989,1,170.581901840491,170.581901840491,200.303680981595,134.765572876155,-143.334689624977,130.835049969356,56.99022573141057
156,1989,2,179.39972067039102,179.39972067039102,193.377094972067,115.067649871465,-155.52453189167602,48.650549282365894,-3.4070843816729166
157,1989,3,175.12005571030602,175.12005571030602,184.83286908078,130.409207274621,-145.673991299452,123.880414418396,-26.22578332010771
158,1989,4,186.900621118012,173.099378881988,186.987577639752,104.642458293283,168.29844127783198,38.010665185411895,9.197973113785553
159,1989,5,180.026130653266,179.973869346734,175.816582914573,103.062990176866,138.685499206221,82.6051938893682,31.967917995337906
160,1989,6,176.09029535865002,176.09029535865002,191.17510548523202,109.094664196041,118.94483201109699,139.89080421646798,0.24320405826416153
161,1989,7,179.583333333333,179.583333333333,195.797435897436,125.616069971697,82.2703262361638,148.133307761753,26.34736555262178
162,1989,8,170.07322175732202,170.07322175732202,185.21129707113,150.396825055002,-24.485659681710402,17.84195049049,-20.365204512685892
163,1989,9,179.476819407008,179.476819407008,177.42857142857102,131.655489793895,-93.1284306673786,140.767432729503,-14.944877781907579
164,1989,10,167.73705357142902,167.73705357142902,191.723214285714,118.486068932829,-122.73548456332199,60.3097725744854,28.636787166987904
165,1989,11,174.037958115183,174.037958115183,174.531413612565,82.8006425835402,-81.93296002401159,119.289560333026,
166,1989,12,182.874162679426,177.125837320574,167.74401913875602,82.4165632751807,-122.45296962228998,59.0432200978736,
167,1990,1,179.059049773756,179.059049773756,169.122398190046,72.9036591735368,-138.611953913582,37.7375087701795,-2.47406622983675
168,1990,2,183.604956268222,176.395043731778,203.215160349853,82.6231636426915,-52.737450810885804,60.3932698627108,43.799837167549235
169,1990,3,178.917847769029,178.917847769029,197.311548556431,81.7037778485168,164.201022417449,171.30305877441998,8.727556312704813
170,1990,4,175.54538043478297,175.54538043478297,189.83125,84.1319893855865,166.196383196415,137.047899180241,-23.800328958225585
171,1990,5,179.267267267267,179.267267267267,193.256756756757,71.1590697989657,157.15723121276,63.127878918543104,41.98511301598135
172,1990,6,168.676731301939,168.676731301939,168.227700831025,40.735039805780204,-32.004023110666196,128.419526169765,
173,1990,7,185.27660098522202,174.72339901477798,152.099014778325,57.8078557295763,-130.17362394118,133.078838397825,27.90317908697099
174,1990,8,182.902918287938,177.097081712062,181.77898832684798,66.1493040247058,-110.34442008424999,103.018172895303,3.87318341038465
175,1990,9,179.264583333333,179.264583333333,193.294212962963,78.7156977578873,-150.525172597293,16.2721764281126,-20.732468008084695
176,1990,10,177.22345971564,177.22345971564,173.707109004739,75.8361325212237,-116.896303350091,75.8318831084854,
177,1990,11,180.861388888889,179.138611111111,189.718888888889,51.2526514799255,173.080112944033,121.065088028284,3.136719767768067
