Carrington Number,g10,g11,h11,Bo,thetaN,phiN
1995,-89.97,23.87,62.16,111.92963593258042,,
1996,-92.69,3.75,75.09,119.34825805180401,,
1997,-102.66,22.43,92.69,140.1200078504137,,
1998,-81.39,41.2,113.66,145.7407551098868,,
1999,-88.92,43.54,110.8,148.5905044072467,,
2000,-96.98,44.82,76.45,131.37182079883038,,
2001,-83.64,32.84,72.66,115.55773794947702,,
2002,-90.86,25.61,70.97,118.10229718341638,,
2003,-93.45,1.34,92.97,131.82609377509445,,
2004,-101.22,-7.04,80.66,129.61900169342456,,
2005,-86.89,-10.72,87.64,123.87719765961774,,
2006,-99.01,-29.32,76.17,128.31411224023645,,
2007,-102.37,-16.68,60.39,120.0199625062431,,
2008,-115.41,-29.93,54.5,131.09356582227826,,
2009,-102.02,-70.08,85.39,150.36867659190193,,
2010,-101.06,-63.18,70.74,138.59647758871796,,
2011,-86.73,-55.27,72.88,126.04903886979861,,
2012,-68.82,-41.28,65.45,103.55642568184749,,
2013,-84.21,-35.85,50.09,104.33386171325205,,
2014,-90.74,-34.27,24.49,100.03969512148664,,
2015,-76.86,-31.33,45.85,94.82220731453155,,
2016,-86.56,-30.6,30.81,96.84136357982574,,
2017,-91.19,-28.17,17.21,96.98117910192678,,
2018,-88.44,-23.56,19.01,93.47773692168633,,
2019,-81.3,-44.53,22.9,95.48309222056018,,
2020,-85.81,-11.13,12.25,87.3916214519447,,
2021,-80.02,-20.43,7.51,82.92759130711563,,
2022,-88.38,4.25,18.95,90.48861475345944,,
2023,-87.94,17.64,3.76,89.77054528073225,,
2024,-95.55,23.03,21.6,100.63172163885501,,
2025,-88.48,26.97,22.06,95.09329576789312,,
2026,-69.98,25.38,29.91,80.22439092944241,,
2027,-78.89,25.75,14.27,84.20408244259895,,
2028,-74.62,32.36,2.8,81.38276230259085,,
2029,-74.58,3.38,0.55,74.65857820773175,,
2030,-100.41,23.85,3.6,103.26640596050585,,
2031,-86.08,19.89,15.32,89.66649820306355,,
2032,-83.95,13.28,16.26,86.53524426498143,,
2033,-89.55,6.39,10.55,90.39544844736376,,
2034,-85.29,-6.17,-4.21,85.61645344208087,,
2035,-91.96,-14.7,9.75,93.63649982779151,,
2036,-95.9,-13.4,21.2,99.12522383329079,,
2037,-96.93,-25.13,-0.32,100.13512969982114,,
2038,-97.16,-18.69,10.24,99.46979089150635,,
2039,-129.05,4.13,8.07,129.36801884546273,,
2040,-88.21,-9.68,4.54,88.8556025245454,,
2041,-87.64,-10.39,4.21,88.35409328378624,,
2042,-93.88,-5.36,10.39,94.60515895023907,,
2043,-92.5,-3.44,-0.95,92.5688181840948,,
2044,-105.08,0.24,-5.91,105.24634007888349,,
2045,-101.49,-8.81,-6.66,102.08913654253325,,
2046,-98.46,-16.95,5.44,100.05632263880179,,
2047,-95.42,-12.48,8.29,96.58908271642298,,
2048,-96.06,-4.42,0.4,96.1624666904921,,
2049,-83.68,-18.31,-2.12,85.68601344443562,,
2050,-101.55,20.73,-8.08,103.95875047344501,,
2051,-93.99,-2.15,-5.53,94.17708585425649,,
2052,-91.09,-0.95,-4.35,91.19875602221776,,
2053,-78.94,-4.59,-2.34,79.10794713554384,,
2054,-92.88,-4.66,-3.38,93.0582312318475,,
2055,-80.09,-7.27,-2.32,80.45274016464573,,
2056,-89.09,-7.81,-5.39,89.59395236286878,,
2057,-98.69,-13.51,7.59,99.89917066722826,,
2058,-87.88,-3.86,11.9,88.76600700718716,,
2059,-82.26,-5.61,8.11,82.84896981858013,,
2060,-75.6,-9.73,13.94,77.48778290801717,,
2061,-78.07,-9.13,10.65,79.32026411958043,,
2062,-77.93,-5.36,14.1,79.37647321467489,,
2063,-78.69,-2.35,11.7,79.58975185286106,,
2064,-87.57,-7.2,14.97,89.1316206517081,,
2065,-73.88,-4.86,12.04,75.01223633514734,,
2066,-79.97,-12.46,19.99,83.36697547590413,,
2067,-81.41,-8.9,17.12,83.66536021556352,,
2068,-89.04,-8.12,13.06,90.35828462293871,,
2069,-84.7,-3.42,12.37,85.66681562892366,,
2070,-86.42,-7.41,7.88,87.09431037674045,,
2071,-85.31,-9.64,6.81,86.12259749914654,,
2072,-89.7,-9.56,8.3,90.5890368642917,,
2073,-80.82,-8.14,3.87,81.32102372695513,,
2074,-76.17,-9.73,3.21,76.85600757260293,,
2075,-74.54,-4.26,1.85,74.68454793329073,,
2076,-80.92,-5.9,2.96,81.18878001300426,,
2077,-70.24,-6.74,0.63,70.56544550982441,,
2078,-78.03,-3.52,-0.16,78.1095186260932,,
2079,-75.99,-10.02,0.19,76.64800454023575,,
2080,-70.22,-6.9,-1.04,70.56585576608562,,
2081,-74.36,-7.93,-1.87,74.8050225586491,,
2082,-74.1,-4.86,1.78,74.28053580851446,,
2083,-73.58,-1.39,0.86,73.59815283008126,,
2084,-73.76,-6.96,-1.14,74.09641556782623,,
2085,-71.67,-6.0,-2.72,71.97212863324248,,
2086,-66.77,-5.37,1.12,66.99495652659235,,
2087,-67.78,-2.93,0.02,67.8433025434346,,
2088,-72.26,-3.22,-1.98,72.35880319629396,,
2089,-73.79,-1.51,-2.41,73.84478519164371,,
2090,-76.57,-7.83,-2.11,76.99822010929863,,
2091,-63.11,-14.41,-2.36,64.77723211129046,,
2092,-62.06,-14.43,4.07,63.84538667750396,,
2093,-68.91,-7.89,18.52,71.7901845658583,,
2094,-70.71,2.02,22.48,74.22489407200254,,
2095,-67.17,-1.41,22.82,70.95455869780321,,
2096,-70.59,-4.46,21.06,73.79948035047401,,
2097,-71.63,15.93,17.67,75.47748472226668,,
2098,-65.58,18.07,9.52,68.68691068900974,,
2099,-59.89,26.52,-9.03,66.11855564060667,,
2100,-47.52,12.91,-11.12,50.482401884221005,,
2101,-42.56,10.95,-16.68,47.0050901498976,,
2102,-45.31,10.54,-8.85,47.35409380402079,,
2103,-48.38,11.31,-5.18,49.953707570109344,,
2104,-50.9,-0.64,-6.96,51.37763326584828,,
2105,-50.0,19.58,1.55,53.71944619967708,,
2106,-37.58,26.3,-1.36,45.888952918976045,,
2107,-23.75,30.96,11.79,40.76258333324815,,
2108,-26.41,23.49,-13.07,37.6841226513236,,
2109,-36.68,27.39,-39.67,60.57510544770022,,
2110,-35.21,5.0,-40.1,53.598079256630086,,
2111,-48.35,5.87,-29.18,56.77721197804627,,
2112,-40.74,1.27,-22.13,46.37992453637673,,
2113,-35.44,17.32,-37.64,54.52289060568964,,
2114,-33.88,8.35,-28.11,44.80791224772697,,
2115,-22.87,-0.56,-43.39,49.05142811376647,,
2116,-35.27,-10.83,-27.86,46.23247127290515,,
2117,-30.74,-16.62,-21.38,40.96677190113959,,
2118,-26.84,-40.29,-11.2,49.69013684827201,,
2119,-5.9,-31.81,-4.43,32.65441777156653,,
2120,-23.75,-11.47,24.0,35.659828939578496,,
2121,-43.12,-10.66,22.91,49.97837632416643,,
2122,-24.27,12.18,8.49,28.451105426678943,,
2123,-16.71,0.77,15.08,22.52162072320729,,
2124,-11.18,3.29,-10.36,15.593142723646185,,
2125,-4.78,-2.31,-21.66,22.301123290094605,,
2126,-3.4,12.32,-6.69,14.425619570749813,,
2127,-8.54,4.26,-2.5,9.865556243821226,,
2128,-4.46,1.86,2.72,5.545232186302031,,
2129,0.95,5.91,4.52,7.500733297484986,,
2130,12.55,-5.66,7.2,15.536347704656976,,
2131,4.29,-15.65,-14.74,21.92245880370174,,
2132,12.25,-28.8,2.43,31.39119940365452,,
2133,-4.43,-30.31,16.68,34.878982209921205,,
2134,0.22,-29.07,36.33,46.5293692198809,,
2135,10.06,-17.85,33.95,39.65385983734749,,
2136,16.08,-25.71,46.06,55.146115910370334,,
2137,14.2,-0.03,50.77,52.718438899497016,,
2138,12.22,29.1,35.03,47.1512385839439,,
2139,16.89,8.41,36.82,41.372848584548784,,
2140,17.84,22.67,14.09,32.104868789639994,,
2141,14.12,10.99,-3.25,18.18562619213317,,
2142,12.09,19.43,-16.84,28.412648591780385,,
2143,27.48,7.12,-26.21,38.6368852264258,,
2144,21.53,4.08,-25.41,33.55376878980959,,
2145,25.93,-14.63,-43.91,53.05176622884482,,
2146,17.65,-6.1,-20.69,27.87128629970278,,
2147,-1.37,-16.34,-5.68,17.353238890766182,,
2148,23.99,-4.69,-5.85,25.134412664711302,,
2149,24.42,-8.91,-19.29,32.370180722387076,,
2150,32.3,-6.31,-6.84,33.61386172399713,,
2151,39.82,-0.34,-11.48,41.44319485753964,,
2152,45.07,9.63,-1.56,46.1137224695643,,
2153,38.88,18.75,-28.61,51.7856061082614,,
2154,41.21,16.96,-42.48,61.56668011189169,,
2155,41.02,10.13,-47.86,63.84228144419653,,
2156,30.5,-9.76,-78.68,84.94733662687725,,
2157,70.9,31.26,-70.77,104.93993758336242,,
2158,61.5,67.34,-28.86,95.6547186499443,,
2159,65.45,24.71,-36.1,78.72418052923766,,
2160,76.22,20.93,-23.23,82.38438080121742,,
2161,80.04,44.4,-15.92,92.90429484151959,,
2162,92.69,26.65,-15.47,97.67793763179073,,
